Комментарий String; ФИО String; Рейтинг Float; Рейтинг Float; Рейтинг Float; Кол-во_проектов Integer; Дата_рождения Date; Рейтинг Float; ФИО String; Комментарий String; 
Задача организации, в особенно; Петрова Дарина Семёновна; 8,91; 4,72; 1,18; 26; 23.09.1987; 9,0; Дегтярева Анастасия Никитична; Дорогие друзья, постоянный кол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 2,84; 9,0; 2,42; 2; 09.07.2009; 8,33; Ильина Василиса Михайловна; Таким образом, постоянное инфо; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 2,09; 7,95; 4,61; 69; 25.07.1991; 2,09; Зайцев Степан Андреевич; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,66; 8,4; 5,24; 78; 19.09.1974; 9,9; Тарасова Анна Фёдоровна; Соображения высшего порядка, а; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 6,5; 1,13; 1,0; 94; 15.05.1991; 6,5; Ермолаев Михаил Артёмович; Соображения высшего порядка, а; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 7,15; 9,28; 8,85; 52; 02.10.2019; 5,66; Тарасова Анна Фёдоровна; Повседневная практика показыва; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 4,98; 1,51; 3,85; 31; 10.01.2006; 6,22; Мартынов Данила Фёдорович; Таким образом, сложившаяся стр; 
Повседневная практика показыва; Петрова Дарина Семёновна; 7,73; 6,22; 5,99; 85; 24.01.1970; 1,51; Селезнев Георгий Артёмович; Равным образом дальнейшее разв; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 1,02; 0,93; 6,22; 89; 09.10.1984; 3,89; Селезнев Георгий Артёмович; Разнообразный и богатый опыт н; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 7,11; 1,0; 4,61; 90; 25.03.1985; 5,23; Журавлев Богдан Артёмович; С другой стороны новая модель ; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 4,61; 6,49; 3,85; 43; 27.05.1999; 6,28; Старостина Александра Леонидов; Повседневная практика показыва; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 8,88; 3,14; 8,85; 10; 01.11.2019; 5,51; Гришин Тихон Максимович; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 9,16; 3,14; 3,35; 49; 04.07.1999; 4,72; Кожевников Марк Романович; Повседневная практика показыва; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,5; 9,69; 4,72; 10; 23.09.1987; 9,69; Максимова Вероника Михайловна; Дорогие друзья, постоянный кол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 3,35; 5,25; 3,85; 44; 11.08.2013; 5,24; Гусев Роман Александрович; Равным образом дальнейшее разв; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 9,16; 5,99; 8,88; 3; 05.11.2021; 1,17; Костина Зоя Ивановна; Дорогие друзья, консультация с; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 3,89; 4,22; 8,56; 40; 11.05.1990; 1,51; Мартынов Данила Фёдорович; Значимость этих проблем настол; 
